# Constructed from biom file
#OTU ID	Subject_41	Subject_40	Subject_43	Subject_42	Subject_45	Subject_44	Subject_47	Subject_46	Subject_39	Subject_31	Subject_32	Subject_33	Subject_34	Subject_35	Subject_36	Subject_37	Subject_16	Subject_15	Subject_13	Subject_11	Subject_18	Subject_19	Subject_29	Subject_28	Subject_27	Subject_26	Subject_25	Subject_24	Subject_23	Subject_22	Subject_20
0;Other;Other	0.000115565725469	2.79748587498e-05	6.02505454044e-06	3.01712361512e-05	1.12725322024e-05	1.28223965234e-05	3.5024966435e-05	4.17541033502e-05	2.16128145836e-05	1.75421397697e-05	2.61390796537e-05	5.38042163478e-06	8.23962853835e-06	7.5e-05	2.4634823192e-05	3.10761862186e-05	0.000233882541009	0.000242790033078	4.05892150121e-05	1.43215595759e-05	1.90631292196e-05	2.87913637036e-05	1.78081703886e-05	5.74999571581e-06	7.59666162073e-06	7.31959666879e-06	3.8037276531e-06	5.72243496052e-05	1.29123833901e-05	4.32742092663e-05	0.000180729182264
k__Archaea;p__Euryarchaeota;c__Methanobacteria	5.97684841692e-05	0.0	0.0	0.0	0.0	8.87047771958e-07	0.0	0.0	7.69928715653e-06	0.0	0.0	1.69364645427e-05	7.46724493011e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.09803081708e-05	0.0	0.00722925572562	0.0	0.0	0.0	0.00014892999512	0.0	7.50358319392e-05	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.39658302686e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83646744076e-06	5.68161362258e-05	0.0	0.0	0.0	0.0	0.0	0.00139484124287	0.0	0.0
k__Bacteria;Other;Other	0.00064113669029	0.000737233438815	0.000363826852556	0.000143561917087	9.48630631562e-05	0.00069573142369	9.09626018087e-05	0.000133191930488	0.000656901213992	0.000903784601079	0.000292872183671	0.000284465056077	0.00037180136788	0.00085	0.00159292218147	0.000190230420911	7.20393763885e-05	0.000687472145543	0.00127074369489	0.00075563221413	0.00057690324755	0.000244895617036	0.00114498111926	0.000867226198091	0.000658117256937	0.000106427888623	0.000336387641264	0.000415153529591	0.00157065293201	0.000924106055645	0.00058663549805
k__Bacteria;p__Actinobacteria;Other	1.77161727398e-06	0.0	5.76633429516e-07	3.10957404973e-06	0.0	8.27364489271e-06	0.0	0.0	3.47838185676e-06	4.50852562195e-06	0.0	7.76579468775e-06	0.0	1.25e-05	1.67693513986e-06	1.11781801923e-06	0.0	2.76905525373e-06	8.76862236174e-07	6.42767706322e-07	0.0	5.67293488152e-07	2.05305083354e-06	4.16292003863e-06	1.62835457494e-06	2.75605807417e-06	1.29515224515e-06	1.0135717254e-06	0.0	0.0	5.22207723998e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0054865498827	0.0200160387889	0.0795720593436	0.00376703924915	0.00616949401423	0.000684942156395	0.00624733955744	0.00353027348652	0.00172912594339	9.53936471078e-05	0.0113895795558	0.145921092118	0.00527587860363	0.2772	0.0163506259543	0.0010369546057	0.00231042838983	0.000164892352434	0.00362654416798	0.0296567838587	0.000167704097264	0.0134603396817	0.217726076434	0.00288500895672	0.000109615335282	0.00782903469074	0.00183547084442	0.000145765986477	0.0045659207797	0.000139343430179	0.060073065819
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.000902880920507	0.00631799028862	0.000721280650067	0.00039286792902	0.00110402446652	0.00202891355403	0.000720328948919	0.000572684332731	0.00158691046094	0.00225491893912	0.00382316366696	0.00112092140049	0.00107442270472	0.0023125	0.000528743350985	0.000442928819808	0.000319617605018	0.00119058131513	0.00412951170992	0.000654048439082	0.00269678274618	0.00124556718447	0.00994134728378	0.00555799258558	0.00113623226496	0.000711718627972	0.00058418952922	0.00068980502546	0.00124367628092	0.00220119937257	0.00349087539205
k__Bacteria;p__Bacteroidetes;Other	0.000416263972235	0.00161706285591	0.000178372530979	0.000491462925597	0.000216962756897	0.000336308986311	0.000231460554586	0.00031302622275	0.000485643013682	0.000496380367028	0.00016280764787	0.000230955488587	0.000377067966008	0.0007125	0.00112484414174	0.000708830968994	0.0001910676614	0.000216863020665	0.000390080777134	0.000363689288341	0.000283730192007	0.000340375343396	0.000164244066683	0.00395868687598	0.000415734008884	0.00157211344188	0.000222904618185	0.000792149902404	0.000240608179069	0.000325452269761	0.000310796688325
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.898233975598	0.752688789686	0.776578947457	0.867388805573	0.913094906523	0.786451699564	0.940082503248	0.673783315829	0.803897193268	0.807038243085	0.834720923683	0.610629062309	0.839656382404	0.0558125	0.77605538986	0.916093900838	0.894831142548	0.831513067286	0.805981666676	0.659461006227	0.881353738858	0.872867071141	0.133120515168	0.782302376323	0.761753385076	0.936468692359	0.899105354103	0.911243690342	0.88936964806	0.810613868142	0.716790683809
k__Bacteria;p__Bacteroidetes;c__Chitinophagia	1.77161727398e-06	2.57718049168e-06	7.68614462757e-06	2.49656328688e-06	5.69172398423e-06	1.72151114248e-06	1.82897944776e-06	0.0	0.0	6.4032028852e-06	4.61893764434e-06	6.63477109152e-06	0.0	0.0	1.83853685914e-06	6.70690811536e-06	0.0	0.0	1.48691644596e-05	1.92830311897e-06	8.70399939197e-06	3.49439670456e-06	2.62434694272e-05	6.78785245924e-06	0.0	2.2454615627e-06	0.0	0.0	1.70075258302e-06	6.95931501839e-06	1.03009879121e-05
